Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57521549,La otra guerra. Una historia del cementerio argentino en las islas Malvinas,Leila Guerriero,"Guerriero, Leila",,"=""8433916483""","=""9788433916488""",5,Anagrama,Paperback,96,2021,2021,2025/08/02,2025/08/02,,,read,"te amo por siempre leila. <br/>dicho eso, muy emocionante. breve, nada sobra. ",,,1,0
212116951,Tarántula,Eduardo Halfon,"Halfon, Eduardo",,"=""8419089885""","=""9788419089885""",4,Libros del Asteroide,Paperback,184,2024,2024,2025/07/30,2025/07/29,,,read,"lo devoré, me quedó sabor a inconcluso el final pero muy fuerte la trama del campamento",,,1,0
33384672,La ciudad y la casa,Natalia Ginzburg,"Ginzburg, Natalia",Mercedes Corral Corral,"=""8426403786""","=""9788426403780""",4,Lumen,Hardcover,280,2017,1984,,2025/07/27,,,read,absolutamente tragica pero sin victimización. me gusta el recurso de las cartas y se usa muy bien. ,,,2,0
235722112,Hija biográfica,Romina Paula,"Paula, Romina",,"=""9871768885""","=""9789871768882""",3,Entropía,Paperback,208,2025,,2025/07/16,2025/07/15,,,read,La historia es bonita pero siento que falta más trabajo en la construcción de la protagonista (cuántos años tiene?) y del tiempo (en qué año pasa esto?) ,,,1,0
27233227,El primer hombre malo,Miranda July,"July, Miranda",,"=""8439730454""","=""9788439730453""",5,Literatura Random House,Paperback,272,2015,2015,2025/07/09,2025/07/08,,,read,"Un libro rarísimo. Me encantó y no entendí nada y entendí un montón, todo al mismo tiempo. La protagonista está tan bien construida. ",,,1,0
7069647,La novela luminosa,Mario Levrero,"Levrero, Mario",,"=""""","=""""",3,Alfaguara,Paperback,542,2005,2005,2025/06/29,2025/06/29,,,read,no lo pude terminar,,,1,0
1447790,Léxico familiar,Natalia Ginzburg,"Ginzburg, Natalia",,"=""""","=""""",4,Lumen Editorial,Paperback,272,2007,1963,2025/06/10,2025/06/10,,,read,Muy divertido. Repetitivo y divertido.,,,1,0
16109364,Cámara Gesell,Guillermo Saccomanno,"Saccomanno, Guillermo",,"=""9504929672""","=""9789504929673""",4,Grupo Editorial Planeta,Paperback,551,2012,2012,2025/05/25,2025/05/25,,,read,"De a momentos me pareció eterno pero sin prisa y sin pausa lo terminé. Me queda, al mismo tiempo, una sensación de tantas historias de las cuales quisiera saber más y por otro lado la misma sensación que al leer una sección de policiales: basta. <br/>",,,1,0
4687139,María Domecq,Juan Forn,"Forn, Juan",,"=""950042942X""","=""9789500429429""",3,Emece,Hardcover,236,1900,2007,2025/05/03,2025/05/03,,,read,"Interesante, divertido. Me la recomendó Manu y eso tiene mucho sentido porque es muy él esa mezcla de Historia, anecdotario, literatura. <br/>No me terminó de enganchar demasiado pero probablemente sea cuándo lo lei y no el libro en si. ",,,1,0
29397486,Conclave,Robert   Harris,"Harris, Robert",,"=""""","=""""",3,Cornerstone Digital,ebook,288,2016,2016,2025/04/11,2025/04/10,,,read,Interesante leer sobre este mundo pero el final me pareció muy simplista.,,,1,0
223945350,Un sueño made in Argentina: Auge y caída de Pumper Nic,Solange Levinton,"Levinton, Solange",,"=""8410178397""","=""9788410178397""",4,Libros del Asteroide,Paperback,216,2025,,2025/04/07,2025/04/07,,,read,NO. CONFIEN. EN. LOS. EMPRESARIOS.,,,1,0
28445264,"La niña perdida  (La amiga estupenda, #4)",Elena Ferrante,"Ferrante, Elena",Celia Filipetto Isicato,"=""1941999751""","=""9781941999752""",3,Lumen,Paperback,544,2016,2014,2025/04/03,2025/04/02,,,read,El que menos me gustó de la saga. ,,,1,0
24549970,"Las deudas del cuerpo (La amiga estupenda, #3)",Elena Ferrante,"Ferrante, Elena",Celia Filipetto Isicato,"=""8426401767""","=""9788426401762""",5,LUMEN,Kindle Edition,453,2014,2013,2025/03/18,2025/03/18,,,read,"Uno mejor que el anterior. Mucho más hincapié en el rol de la mujer ya más adulta y en la violencia de la guerra civil en Napoles. Se lo describí a un amigo como un libro muy femenino, pero no arquetipicamente femenino. Realmente femenino.",,,1,0
212120717,Un mal nombre,Unknown Author,"Author, Unknown",,"=""""","=""""",5,Círculo de Lectores,Unknown Binding,0,,,2025/03/13,2025/03/12,,,read,"no soy una persona de sagas pero estoy devorando esto. la historia de dos amigas, o de una amiga y otra amiga, de un barrio pobre de napoles, del vinculo entre ellas y el vinculo con todos los demás, de los sentimientos más horribles del mundo (me hace pensar mucho en girls de a momentos, salvando el abismo de diferencia), de querer escaparse del barrio y que el barrio este siempre adentro porque aunque la mona se vista de seda mona queda. muy atrapante.",,,1,0
19317918,"La amiga estupenda (Dos amigas, #1)",Elena Ferrante,"Ferrante, Elena",Celia Filipetto Isicato,"=""842642144X""","=""9788426421449""",5,LUMEN ,Paperback,392,2020,2011,2025/03/05,2025/03/05,,,read,"Qué manera de abarcarlo todo. Me dejó completamente enganchada la historia de Lila y Lenù. El personaje de Lila es fascinante porque la mirada de Lenù lo hace fascinante. Los pensamientos de Lenù, oscuros, llenos de pecados, son pensamientos que solo un autor anónimo podría exponer así. ",,,1,0
25895025,"Hija de Dios: No es el Diego, es mi papá (Spanish Edition)",Dalma Maradona,"Maradona, Dalma",,"=""9500743531""","=""9789500743532""",3,SUDAMERICANA,Kindle Edition,188,2013,2013,2025/02/14,2025/02/14,,,read,"Cualquier cosa sobre el Diego se gana mínimo tres estrellas, pero el libro es pésimo. ",,,1,0
208931300,Intermezzo,Sally Rooney,"Rooney, Sally",,"=""0374602638""","=""9780374602635""",2,"Farrar, Straus and Giroux",Hardcover,464,2024,2024,2025/01/26,2025/01/26,,,read,"La bio de Tinder de los protagonistas de esta novela sería: “me gustan los amaneceres, las películas y escuchar música”. No lo pude ni terminar",,,1,0
2331172,El origen de la tristeza,Pablo Ramos,"Ramos, Pablo",,"=""9505119518""","=""9789505119516""",4,ALFAGUARA,Paperback,160,2005,2004,2025/01/10,2025/01/09,,,read,"Hermoso, barrial, sincero, de a momentos muy adrenalínico, otros momentos muy triste y ya. ",,,1,0
80072726,El último día de la vida anterior,Andrés Barba,"Barba, Andrés",,"=""8433918311""","=""9788433918314""",3,Anagrama,Kindle Edition,140,2023,2023,2025/01/06,2025/01/06,,,read,"Lo odié desde que la primera pagina, pero lo lei hasta el final",,,1,0
2947273,A sangre fría,Truman Capote,"Capote, Truman",Jesús Zulaika Goicoechea,"=""""","=""""",5,Editorial Anagrama,Mass Market Paperback,440,2006,1966,2025/01/04,2025/01/04,,,read,"Después de leer el libro de Leila volví para acá, y fue una gran vuelta. Capote es excepcional, encara la no ficción de una manera increíble. ",,,1,0
216364256,La dificultad del fantasma: Truman Capote en la Costa Brava,Leila Guerriero,"Guerriero, Leila",,"=""8433927256""","=""9788433927255""",3,Editorial Anagrama,Paperback,144,2024,2024,2024/12/28,2024/12/28,,,read,Es hermoso como cualquier libro de Leila y todo lo que ella escribe pero un poco este libro podría haber sido un articulo vibes. ,,,1,0
29939363,Transit,Rachel Cusk,"Cusk, Rachel",,"=""0374278628""","=""9780374278625""",4,"Farrar, Straus and Giroux",Hardcover,260,2017,2016,2024/12/21,2024/12/22,,,read,"Muy linda escritura. La protagonista se corre todo el tiempo, es una excusa para ir escuchando otras voces que reflexionan sobre sus propias vivencias de maneras muy poéticas y bellas. Me gustó, voy por la trilogia. ",,,1,0
31842429,Patria,Fernando Aramburu,"Aramburu, Fernando",Willi Zurbrüggen,"=""8490663270""","=""9788490663271""",3,Tusquets,Kindle Edition,889,2016,2016,2024/12/13,2024/12/15,,,read,"Me resultó interesante la historia pero no podía dejar de pensar en el trasfondo político y, si bien el autor en el epílogo dice que escribió siendo “neutro” (ahre), me parece lo menos neutro del mundo, de hecho es muy transparente su postura política. La familia con un integrante de la ETA son desagradables, rencorosos, pesados. Los otros son buenos, son unidos, etc. Demasiado bias para mi gusto. ",,,1,0
34096456,Potosí,Ander Izagirre,"Izagirre, Ander",,"=""8416001642""","=""9788416001644""",4,"LIBROS DEL KO, SLL",Paperback,208,2017,2017,2024/11/06,2024/11/06,,,read,"La vida de los mineros en Potosí es terrorífica y el autor lo narra muy bien, con detalle, sabiéndose europeo. A veces la narración se vuelve demasiado repetitiva pero tampoco me parece condenable.",,,1,0
44305356,Opus Gelber: Retrato de un pianista,Leila Guerriero,"Guerriero, Leila",,"=""8433998722""","=""9788433998729""",4,Anagrama,Paperback,333,2018,2018,2024/10/14,2024/10/15,,,read,No es mi preferido de Leila pero es igualmente hermoso. Gelber es un personaje fascinante pero más fascinante es la fascinación de Leila. ,,,1,0
83369,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,"Stewart, Trenton Lee",Carson Ellis,"=""0316057770""","=""9780316057776""",0,"Little, Brown and Company",Hardcover,486,2007,2007,,2024/10/03,to-read,to-read (#2),to-read,,,,0,0
4548974,Primero estaba el mar,Tomás González,"González, Tomás",,"=""1583480447""","=""9781583480441""",4,Norma  ,Paperback,208,1998,1983,,2024/09/15,,,read,Oscuro. <br/>Buen desarrollo de personajes. <br/>Se siente autóctono.,,,2,0
